Square,X,Y,Response,Piece
a8,17.0,7.0,222.0,r
a8,11.0,12.0,145.0,r
a8,14.0,12.0,188.0,r
a8,29.0,12.0,188.0,r
a8,32.0,12.0,145.0,r
a8,14.0,14.0,25.0,r
a8,29.0,14.0,26.0,r
a8,18.0,16.0,189.0,r
a8,25.0,16.0,186.0,r
a8,14.0,18.0,50.0,r
a8,16.0,18.0,64.0,r
a8,27.0,18.0,67.0,r
a8,29.0,18.0,46.0,r
a8,14.0,24.0,24.0,r
a8,16.0,24.0,82.0,r
a8,27.0,24.0,85.0,r
a8,29.0,24.0,21.0,r
a8,18.0,26.0,171.0,r
a8,25.0,26.0,168.0,r
a8,15.0,27.0,24.0,r
a8,28.0,27.0,24.0,r
a8,12.0,29.0,145.0,r
a8,15.0,29.0,143.0,r
a8,28.0,29.0,140.0,r
a8,31.0,29.0,148.0,r
a8,15.0,34.0,254.0,r
a8,28.0,34.0,254.0,r
b8,17.0,6.0,50.0,n
b8,20.0,7.0,131.0,n
b8,11.0,11.0,86.0,n
b8,17.0,11.0,244.0,n
b8,24.0,11.0,186.0,n
b8,28.0,11.0,76.0,n
b8,30.0,12.0,83.0,n
b8,10.0,13.0,46.0,n
b8,28.0,13.0,21.0,n
b8,30.0,14.0,25.0,n
b8,28.0,15.0,51.0,n
b8,34.0,17.0,82.0,n
b8,34.0,20.0,28.0,n
b8,36.0,20.0,29.0,n
b8,6.0,23.0,66.0,n
b8,9.0,24.0,229.0,n
b8,20.0,25.0,122.0,n
b8,6.0,26.0,93.0,n
b8,15.0,26.0,75.0,n
b8,11.0,27.0,130.0,n
b8,7.0,28.0,66.0,n
b8,11.0,30.0,126.0,n
b8,34.0,34.0,205.0,n
b8,15.0,36.0,131.0,n
c8,3.0,4.0,90.0,b
c8,19.0,12.0,211.0,b
c8,24.0,12.0,212.0,b
c8,15.0,16.0,57.0,b
c8,28.0,16.0,58.0,b
c8,14.0,19.0,131.0,b
c8,29.0,19.0,137.0,b
c8,21.0,20.0,229.0,b
c8,13.0,21.0,109.0,b
c8,30.0,21.0,106.0,b
c8,14.0,23.0,125.0,b
c8,29.0,23.0,132.0,b
c8,16.0,24.0,25.0,b
c8,27.0,24.0,27.0,b
c8,20.0,26.0,207.0,b
c8,23.0,26.0,210.0,b
c8,15.0,27.0,141.0,b
c8,28.0,27.0,138.0,b
c8,19.0,28.0,21.0,b
c8,24.0,28.0,22.0,b
c8,16.0,30.0,211.0,b
c8,19.0,30.0,132.0,b
c8,24.0,30.0,133.0,b
c8,27.0,30.0,213.0,b
c8,20.0,32.0,22.0,b
c8,23.0,32.0,21.0,b
c8,16.0,33.0,122.0,b
c8,18.0,33.0,135.0,b
c8,25.0,33.0,132.0,b
c8,27.0,33.0,128.0,b
c8,11.0,34.0,66.0,b
c8,20.0,34.0,19.0,b
c8,23.0,34.0,21.0,b
c8,32.0,34.0,66.0,b
c8,18.0,36.0,16.0,b
c8,24.0,36.0,16.0,b
d8,15.0,9.0,131.0,q
d8,28.0,9.0,131.0,q
d8,38.0,11.0,131.0,q
d8,16.0,12.0,36.0,q
d8,12.0,13.0,23.0,q
d8,31.0,13.0,24.0,q
d8,8.0,17.0,72.0,q
d8,35.0,17.0,72.0,q
d8,12.0,18.0,40.0,q
d8,31.0,18.0,41.0,q
d8,12.0,20.0,117.0,q
d8,31.0,20.0,117.0,q
d8,25.0,21.0,104.0,q
d8,13.0,22.0,99.0,q
d8,30.0,22.0,99.0,q
