AvgX,AvgY,AvgResp,Coord,Symbol
25.51666666666667,24.049999999999997,102.98333333333335,a7,p
26.533333333333335,29.6,193.26666666666668,c8,b
25.466666666666665,28.8,138.93333333333334,h8,r
28.0,28.0,136.46666666666667,a1,R
28.6,26.2,180.86666666666667,f1,B
26.066666666666666,27.866666666666667,165.0,e8,k
27.349999999999998,27.933333333333334,147.88333333333333,e2,P
27.2,29.8,157.8,c1,B
19.266666666666666,23.733333333333334,147.53333333333333,b8,n
22.466666666666665,23.866666666666667,193.86666666666667,g8,n
25.2,29.866666666666667,139.73333333333332,e1,K
30.2,26.0,157.66666666666666,h1,R
24.6,21.0,108.73333333333333,d8,q
27.2,23.55,98.4,e7,p
19.266666666666666,25.866666666666667,159.8,b1,N
27.066666666666666,31.466666666666665,175.46666666666667,a8,r
26.03333333333333,28.366666666666667,146.85000000000002,a2,P
21.666666666666668,24.333333333333332,158.53333333333333,g1,N
26.8,26.2,142.6,f8,b
27.6,21.2,176.06666666666666,d1,Q
